electra-0,electra-1,xlnet-0,xlnet-1,bert-0,bert-1,target
-2.471229,2.3282332,-3.0763233,3.54427,-3.4810436,3.5975287,1
2.0644019,-1.8892863,2.193675,-2.5731833,3.0276475,-3.0157876,0
1.910279,-1.7490104,1.8880019,-2.0294554,2.89747,-2.5929368,0
-2.3778944,2.254022,-0.5730881,0.5911933,-2.2248204,2.5696664,1
2.0045037,-1.8956299,2.5708401,-2.6798964,3.1253219,-2.7882075,0
-2.520228,2.4082108,-2.7311916,2.8650546,-3.3814511,3.5799825,1
-2.183283,2.096526,0.15665069,-0.54294825,-3.3997455,3.5756445,0
-2.1825252,2.1588724,-1.79809,1.5390927,-3.3311965,3.4904525,1
-2.4455833,2.329343,-2.4695022,2.5138767,-3.3664076,3.3040047,1
-2.393062,2.3329122,-2.5170374,3.0214071,-3.3276067,3.6263533,1
-2.443595,2.3004692,-2.9637418,3.3463967,-3.444119,3.4561696,1
1.9202358,-1.7813953,1.9135313,-2.0589607,2.6843064,-2.6593766,0
1.9291584,-1.8139027,2.1205711,-2.164396,2.934144,-2.4749596,0
-2.368665,2.2378287,-2.2340863,2.2238348,1.4061095,-1.3361584,1
-2.060766,2.01678,-2.6141036,2.9755127,-3.2700276,3.375861,1
0.92634445,-0.6815599,1.4129342,-1.402255,2.3290308,-2.472831,1
-2.5176425,2.3503463,-2.8043728,3.130201,-3.2634876,3.3576126,1
1.6043612,-1.5322235,0.28061318,-0.7046671,2.8984816,-2.5818121,0
-2.4791355,2.3576498,-3.0069757,3.5231092,-3.2033722,3.3776593,1
1.1460699,-0.9946927,0.9454874,-1.1805035,1.6539958,-1.5683957,0
1.9855964,-1.8409672,1.9036876,-1.982568,2.9744911,-2.788476,0
-0.6748228,0.6929105,-2.4248242,2.2531674,-3.342321,3.546473,1
1.992646,-1.8548322,0.76725984,-0.9796581,2.5780523,-2.007454,0
-2.4169993,2.28542,-3.0612776,3.2994933,-3.460325,3.4797955,1
-2.3154209,2.2008607,-2.4086401,2.2950077,-3.1659632,3.315547,1
1.562848,-1.3887169,0.023861147,-0.12770866,-2.2106946,1.9115399,1
-1.2367535,1.2933236,-0.67334396,0.63722575,-3.3062065,3.150509,0
-2.5156398,2.3354115,-3.1559117,3.6088033,-3.3916252,3.5917208,1
-1.8605428,1.8726649,-2.5544968,2.0911312,-3.2863612,3.4693153,1
-2.4617708,2.343295,-2.4941523,2.552576,-3.5041986,3.5668488,1
-0.13670343,0.34226447,0.038561117,-0.23359333,0.96330833,-0.93085104,0
-2.478215,2.3323898,-3.2068772,3.548486,-3.4012682,3.4406269,1
-2.2845116,2.1610734,-2.4808855,2.6663208,-2.921866,3.1050081,1
-2.0223002,1.98614,-1.4523175,1.1659323,-3.0192282,3.2824674,1
-2.4948618,2.3655365,-2.3717804,2.4427211,-3.4384172,3.474644,1
-0.81332767,0.9276802,-0.21783812,0.18382554,-3.569311,3.4061444,0
1.9413774,-1.8495648,2.0847883,-2.6130178,2.3321667,-2.5312855,0
1.6816126,-1.5257248,1.9899697,-2.3341167,2.9608107,-2.6096725,0
-1.4676951,1.4444011,-2.11412,1.780227,0.038904343,0.48912084,1
-2.5445836,2.3573399,-3.1681285,3.5745502,-3.3829012,3.584589,1
1.8867459,-1.7980945,1.2592062,-1.4897126,2.9275184,-2.665996,0
-2.4803114,2.3360133,-2.9068527,2.8907707,-3.1345463,3.411057,1
1.4336823,-1.1957359,1.012243,-1.08155,2.5030148,-2.4669871,0
1.9522357,-1.8402138,1.7238008,-2.0742848,2.8334312,-2.7543168,0
1.1083323,-1.0755421,1.7062304,-2.038414,2.4675431,-1.9293393,0
-2.3704083,2.2279665,-2.9298565,3.2027457,-3.3042667,3.5383434,1
-1.9687907,1.8949783,-2.1895514,2.7504435,-3.0988994,3.3154533,1
1.7536983,-1.6122775,2.7038276,-3.0570238,3.108175,-3.047676,0
-2.4250689,2.339576,-2.6605463,2.97176,-3.4051561,3.577183,1
-2.4492166,2.368701,-2.1068969,2.1429868,-3.3821752,3.1471472,1
-1.4358145,1.3445959,-2.8610733,3.1713023,-2.6061363,2.6517694,1
-2.4128432,2.2621956,-2.7829394,2.8263686,-2.964902,3.1624744,1
-2.3627183,2.2698154,-1.1331652,0.6919011,-2.6668663,2.2860827,1
-2.4770935,2.3307295,-3.0172906,3.462509,-3.313299,3.5199974,1
-1.3996617,1.431967,-1.7289623,2.0714579,-3.3244402,3.562169,1
-2.5310514,2.3882394,-2.415607,2.6087742,-3.374359,3.3968313,1
-1.8985591,1.8001091,-0.66642,0.3753623,0.09779613,0.74561125,1
-2.4848285,2.3175125,-3.2020214,3.5246975,-3.5296164,3.6145077,1
-2.4108925,2.2901788,-3.1787562,3.5206416,-3.5809326,3.5776892,1
-1.9874511,1.9992235,-1.8982764,2.023687,-3.4879436,3.2336128,1
1.8700875,-1.712244,-0.7486364,0.568734,-3.642305,3.5494628,0
1.4080132,-1.1675433,-0.66073513,0.58945405,-3.3897617,3.2269142,1
