electra-0,electra-1,xlnet-0,xlnet-1,bert-0,bert-1,target
3.480066,-3.05975,4.085572,-3.9139628,4.084823,-4.2786603,0
5.433925,-4.66833,5.110269,-4.7798457,5.0196342,-5.0575657,0
-1.86593,1.585051,-1.9552679,1.852833,-1.470455,1.6470584,1
5.386782,-4.67663,5.248751,-4.8144865,4.8444242,-4.89138,0
2.512219,-2.18717,2.6441216,-2.6501622,2.44066,-2.3983428,0
-2.17733,1.864834,-1.5978827,1.370861,-2.1851459,2.1652637,1
-0.73025,0.61666,2.2407994,-2.4154568,-0.95644116,1.1259243,1
-0.78955,0.639025,0.20978086,-0.48484924,-1.1323057,1.2903501,1
-0.39972,0.291506,-1.2379193,1.0223922,0.6014052,-0.62493646,0
5.3445,-4.60489,5.3226743,-4.862991,4.7504015,-4.796872,0
3.151771,-2.74785,1.0713778,-1.4221488,2.3783164,-2.234212,0
5.652491,-4.8758,5.3754745,-4.8797317,5.037838,-5.1598024,0
-3.04797,2.693554,-1.0635204,0.8164874,-2.4742434,2.5617864,1
5.31871,-4.59781,4.5325747,-4.2882166,4.284301,-4.290427,0
4.873126,-4.20106,4.8131166,-4.5029383,4.7836876,-4.8702273,0
-2.71595,2.434377,-2.5050871,2.2297904,-0.60070676,1.0442587,1
-3.27797,2.983509,-2.6219144,2.6481512,-3.1367977,3.241894,1
4.466022,-3.84826,3.7750845,-3.5940697,4.2336664,-4.439921,0
2.07773,-1.83724,2.3766825,-2.4075968,2.0718575,-2.048708,0
0.254649,-0.25859,-0.07578623,-0.13476972,1.3132102,-1.4459939,1
4.937504,-4.25462,4.525076,-4.256472,3.8887272,-3.9834516,0
-3.26759,2.963268,-3.5940137,3.3538208,-3.2720065,3.4350913,1
3.424773,-2.98764,3.8412614,-3.6763918,2.3131535,-2.344051,0
3.095598,-2.70576,2.1439853,-2.3052292,1.1657822,-1.1627054,0
5.448757,-4.66183,5.346343,-4.8731084,4.790568,-4.8390326,0
4.957522,-4.30579,4.656492,-4.383317,4.454471,-4.577894,0
3.42336,-2.98744,2.190599,-2.2366726,1.312051,-1.3991997,0
1.98992,-1.75628,1.6571467,-1.8393781,1.9005681,-2.106071,0
5.181911,-4.45175,4.964843,-4.6216197,3.603551,-3.7018373,0
-2.15617,1.873289,-0.61522055,0.34518346,1.247348,-1.141056,0
-0.85599,0.715094,-0.69972235,0.3701017,-0.70641035,0.9381958,1
2.733624,-2.31149,0.4527032,-0.6825049,2.9008176,-2.9335647,0
5.172912,-4.41579,5.0311847,-4.68859,4.4838,-4.5012693,0
-3.38851,3.062007,-3.568964,3.3254547,-3.1369376,3.2862046,1
-0.1012,0.037753,-0.82561773,0.54168326,-1.6291572,1.8059282,0
3.741657,-3.19185,4.0509086,-3.8032796,4.1401796,-4.2158012,0
3.152943,-2.76406,3.586279,-3.5066442,3.963065,-4.0812316,0
3.590764,-3.11315,3.790619,-3.555924,2.8521652,-2.943491,0
-2.45955,2.145306,-2.0507598,2.0222135,-2.1603732,2.2291772,1
4.732851,-4.08012,3.7782962,-3.5410662,4.082864,-4.279704,0
2.74654,-2.38972,3.4079223,-3.3474538,2.8354294,-2.8044562,0
4.205432,-3.61418,4.5309396,-4.3230376,4.0648026,-4.164895,0
-2.92245,2.603202,-2.0616696,2.0399816,-1.9892809,1.978953,1
5.450177,-4.66673,5.3020253,-4.873572,4.827447,-4.930223,0
4.701784,-4.03997,2.7304335,-2.8347454,2.193445,-2.3462186,0
-1.46899,1.215099,-2.1249871,2.0425942,-2.1708696,2.2096786,1
-3.31106,2.981328,-3.1804569,3.0440838,-3.291132,3.3975961,1
-3.24738,3.053392,-1.6367867,1.4545817,-1.8474269,1.9078714,1
-2.82737,2.580687,-1.6087624,1.3789294,-1.3261185,1.3600621,1
-2.73562,2.434753,-1.7212005,1.5801207,-2.0775688,2.154569,1
5.308153,-4.55181,5.057252,-4.732818,4.8896255,-4.9767613,0
-1.99142,1.685781,-2.1710925,2.117197,-2.2807703,2.3850174,1
5.330079,-4.5511,5.06401,-4.671871,4.611601,-4.6654034,0
3.082222,-2.68761,2.2039444,-2.28687,2.6928349,-2.81493,0
-2.79339,2.524367,-3.1770184,3.0252151,-2.6228564,2.7251678,1
3.001854,-2.60295,2.0588665,-2.0656977,3.75033,-3.9116793,0
1.501993,-1.32935,1.5328131,-1.7669373,0.7639544,-0.80088776,0
5.508261,-4.72809,5.322583,-4.892868,4.82339,-4.9035735,0
5.409683,-4.62784,5.34117,-4.875238,4.784919,-4.838982,0
-2.127,1.936045,-1.6394198,1.4858227,-2.2795188,2.296646,1
1.399438,-1.27094,1.3553652,-1.5731995,1.2664353,-1.2568305,0
-2.50022,2.151419,-2.6830387,2.4346483,-3.0367496,3.1205797,1
