electra-0,electra-1,electra-2,xlnet-0,xlnet-1,xlnet-2,bert-0,bert-1,bert-2,target
-3.18504,-2.40694,5.788164,-2.29897,-2.62758,6.062697,-2.92072,-1.81853,5.803957,2
-3.28677,-0.18627,3.867244,-2.64871,-0.06136,3.408054,-2.69028,-0.62607,4.114594,2
3.857684,-1.41161,-3.37081,4.612583,-1.11626,-3.62956,3.649323,-1.88214,-1.94333,0
-4.51094,-0.63514,5.515217,-4.11467,-0.5923,5.766583,-3.28704,-0.01558,4.182058,2
3.650104,-0.77234,-3.76276,4.341172,-0.68285,-4.01826,3.702457,-0.45952,-3.44413,0
3.730798,-0.48034,-4.29935,-0.37403,1.696497,-1.50981,2.618588,0.506735,-3.33673,0
-2.7194,-2.35267,5.21228,-1.50568,-2.2131,5.13882,0.219062,-1.60554,2.0373,2
-3.75356,-1.38534,5.462783,-3.77869,-1.07675,6.151641,-3.09373,-1.34562,5.565638,2
2.860127,0.798143,-4.49736,1.629556,1.218503,-3.62611,-1.4757,2.283024,-0.81891,1
-3.87235,-1.61119,5.782366,-2.94677,-2.18806,6.188994,-3.07478,-1.60973,5.78184,2
-0.08586,4.199474,-4.20113,-1.00639,4.112218,-3.98963,-0.1204,3.615528,-3.81683,1
-4.33199,-0.27433,5.05219,-3.53595,0.296449,4.035569,-1.72137,2.807468,-1.06729,2
-3.08896,-1.83171,5.187468,-3.27579,-1.0104,5.505562,-3.42255,-0.96028,5.320851,2
-3.64784,-1.77788,5.727338,-3.73248,-0.32055,5.166219,-3.29732,-0.84722,5.186514,2
-3.62717,-2.05207,5.98911,-2.73747,-2.42516,6.10563,-3.24419,-1.49081,5.815076,2
3.80235,-0.58571,-4.20273,3.86468,-0.17736,-3.83132,2.304163,0.782902,-2.96846,1
-0.34591,4.224008,-3.90276,-1.21525,1.783409,-0.95228,1.092712,0.282098,-1.25898,0
-3.08857,5.006275,-1.45669,-2.88172,4.54396,-2.44566,-3.3488,3.015213,0.564843,1
-1.62579,-1.96422,3.67676,-0.57996,-1.65384,3.342295,-1.70407,-1.34943,4.030759,2
0.218077,3.401975,-3.76079,-2.0261,3.834629,-2.62357,-1.45669,4.022391,-3.01572,1
4.073873,-1.27237,-3.75862,4.366256,-1.0278,-3.55033,3.82262,-0.93952,-3.08297,0
-2.99883,-2.52242,5.705744,-2.07556,-2.78407,5.913235,-2.87735,-1.84361,5.715414,2
3.946518,-1.30425,-3.59336,3.785546,-1.37248,-1.98008,2.70002,-1.70056,-1.0517,0
-3.12346,4.415801,-0.6714,-3.33349,3.494783,-0.83054,-3.03257,4.536898,-1.35127,1
-2.44047,-0.78643,3.38325,-2.70078,3.030002,-1.14808,-2.7894,2.821045,0.276698,2
3.183936,0.801665,-4.86852,3.670877,0.230772,-4.31701,3.416059,-0.21131,-3.25323,0
-3.0202,-2.4624,5.687118,-2.78229,-2.02496,6.142749,-2.22279,-0.75218,3.638435,2
-2.48958,-1.58245,4.284528,-1.5979,-1.05656,3.571662,-2.16593,-0.74002,3.861241,2
-3.157,-2.23238,5.642183,-2.05249,-2.20498,5.671205,-2.61402,-1.43795,5.067428,2
3.861043,-1.04912,-3.81156,4.076631,-1.2958,-2.44694,2.376758,0.417168,-2.78394,0
-3.13872,-2.12099,5.498996,-2.43635,-2.40244,6.087295,-2.89358,-1.65742,5.661522,2
3.818749,-1.33563,-3.37653,4.634886,-1.31051,-3.17294,3.874624,-1.75975,-2.25231,0
-3.13324,-1.66452,5.011846,-2.29993,-1.58876,5.231403,-3.24828,-1.08275,5.296835,2
-1.03716,3.65801,-2.3784,-2.01291,2.699181,-1.08377,-1.91225,3.288336,-1.51075,1
3.1528,0.122619,-4.12071,2.068394,1.559591,-4.27577,2.322078,1.190242,-3.42317,0
-3.07045,-2.13999,5.45514,-2.49213,-1.54378,5.218188,-3.21455,-0.81561,5.019514,2
-3.33236,-2.19221,5.760984,-2.78203,-2.07885,6.22569,-3.24901,-1.35302,5.645003,2
-3.2943,3.875465,0.004273,-3.77974,3.09369,0.31083,-3.22988,3.69364,-0.23602,1
3.64867,-1.06891,-3.43146,4.158206,-1.19347,-2.94377,3.08041,-1.09404,-2.11544,0
-2.07102,3.841777,-1.3126,-1.50974,1.768443,-0.71735,-2.35433,2.933958,-0.43525,1
1.164039,1.687831,-3.07967,0.406814,1.146436,-2.22031,-1.19272,0.909091,0.289377,0
0.025763,1.707204,-1.83889,2.100066,-0.40827,-1.99817,1.051126,-1.25797,0.248968,0
-2.39368,4.714155,-1.82815,-2.86519,4.525295,-2.5752,-0.93188,3.748542,-2.92333,1
-2.75076,4.748483,-1.52151,-3.65224,4.523512,-1.48992,-2.56283,4.129851,-1.65216,2
4.056398,-1.00641,-4.052,4.385132,-0.50348,-4.31489,3.534057,-0.82492,-2.92039,0
-2.68447,-0.32274,3.234249,-2.24648,-1.42568,5.031802,-0.475,0.832184,0.011712,2
-4.88323,1.960583,3.506137,-4.33611,2.115591,2.862188,-3.34345,2.92995,0.755533,1
0.921298,1.255986,-2.38867,-1.19313,2.202186,-1.60901,1.825836,0.975432,-2.82994,1
-3.69352,-1.04385,5.067682,-3.47102,0.398321,3.763099,-3.01145,-0.33734,4.264519,2
-1.95163,-2.10252,4.165828,0.076338,0.178493,-0.46142,0.304254,-0.31592,0.027109,2
4.04455,-0.95954,-4.06004,4.235873,-1.16464,-3.44223,3.823583,-0.95838,-3.05978,0
3.910468,-1.00103,-3.91526,4.046683,-0.95142,-3.23038,3.514129,-0.53925,-3.21101,0
2.897149,1.320809,-4.96224,2.449494,0.847711,-4.04947,3.411388,-0.21441,-3.26279,0
1.728606,2.696707,-5.01417,-0.20571,3.204621,-4.39996,0.894366,1.956526,-2.86096,1
-0.86684,0.932784,0.085617,0.445806,0.140531,-0.96796,-0.69229,0.453843,0.209754,1
2.299924,1.329656,-4.25236,3.307498,-0.51591,-2.66956,1.873618,0.480397,-2.37742,1
-3.09131,4.905779,-1.33259,-3.91757,4.260993,-0.87813,-3.25721,4.180438,-0.7907,1
-3.254,-2.45302,5.939359,-3.29052,-1.90351,6.34829,-3.08254,-1.80037,5.927885,2
-3.88428,-1.43508,5.613694,-3.62113,-0.87297,5.749359,-3.39319,-1.00724,5.438478,2
-1.84205,4.919388,-2.82577,-2.91472,4.444247,-2.36434,-1.72207,4.587688,-3.21378,1
-2.95655,-2.3738,5.554088,-1.8877,-2.09444,4.967422,-2.49619,-1.96608,5.562184,2
-3.09581,-2.09095,5.371506,-1.96925,-1.79658,5.003997,-2.88617,-0.21194,4.14952,2
-1.92687,5.024583,-2.81904,-2.16415,4.511605,-3.26698,-2.00747,3.828105,-2.06199,1
-2.80359,5.098993,-1.89782,-3.20264,4.554359,-2.20404,-2.73979,3.984656,-1.05892,1
4.004455,-0.96836,-4.0366,4.361696,-0.77575,-3.81471,3.893189,-1.43553,-2.53843,0
-2.34845,-1.93372,4.453963,-2.17247,-2.27354,5.749194,-1.55845,-1.95003,4.567816,2
4.135555,-1.46865,-3.66366,4.354787,-1.52077,-2.78716,3.748118,-1.98351,-1.95491,0
3.39988,-0.09142,-4.23083,2.817882,0.566717,-4.05811,1.790592,1.423862,-3.17503,0
-3.37233,-1.93508,5.500307,-2.29735,-2.46264,6.159853,-2.77539,-1.62345,5.567587,2
0.239471,-0.48938,0.103867,1.227376,0.794681,-2.44176,2.980303,-0.94538,-2.15049,2
3.874468,-0.93092,-3.91627,4.019364,-0.78826,-3.35564,3.459155,-0.57167,-3.0389,0
-2.90851,-0.82054,3.996915,-0.86562,-1.15124,2.457452,-2.3606,-0.54266,3.760193,2
3.97342,-0.56616,-4.44667,3.660353,-0.4337,-3.47383,2.517402,0.46093,-2.81156,0
-0.26894,3.020661,-2.71795,0.247359,0.37567,-0.56598,0.083838,0.670997,-0.68828,1
-3.4232,-1.90921,5.579289,-3.51003,-0.83665,5.510265,-2.60074,-1.40319,5.141995,2
-3.1931,2.32064,1.399624,-3.3862,2.559667,0.569087,-2.26184,0.517955,2.368294,1
-2.36972,5.016695,-2.21598,-2.87022,4.707962,-2.40117,-2.10414,4.734878,-2.83497,1
1.196301,-1.01146,-0.54292,4.052574,-0.78156,-3.35682,-1.04276,0.507981,0.446132,0
-2.16064,-2.00073,4.324206,-2.03662,-1.27744,4.27689,-3.15407,-1.62359,5.765085,2
-2.44975,5.140173,-2.33232,-3.34449,4.90617,-2.54406,-2.37855,4.784451,-2.35187,1
-3.18814,-2.11829,5.543921,-2.28177,-2.5016,6.043568,-2.76424,-1.72854,5.516873,2
-2.93947,-1.29938,4.512643,-2.74689,-0.00854,3.467229,-1.61481,-0.47073,2.776283,2
3.619102,-0.14209,-4.45427,3.635154,-0.22071,-3.71885,1.651567,1.25879,-2.88915,0
-2.57536,5.081469,-2.1438,-3.43537,4.653215,-1.9722,-2.28914,3.440706,-1.06747,1
-3.6014,2.405601,1.765764,-1.56686,0.175527,2.036226,-2.6182,1.809908,1.082861,1
