electra-0,electra-1,xlnet-0,xlnet-1,bert-0,bert-1,target
2.725301,-2.29472,-0.28648,0.139505,-1.9716152,1.5840747,0
-1.5632,1.279347,0.32713,-0.47824,-3.1840181,2.6259077,1
1.569117,-1.31295,-1.31836,1.043548,-2.3214397,1.8909292,1
2.91777,-2.45939,3.293815,-2.69003,2.565733,-1.8951999,0
-3.24706,2.75871,-2.93017,2.330263,-1.066698,0.8741357,1
-3.84563,3.327024,-4.49539,4.009339,-3.3990662,2.8530574,1
-2.40082,1.971412,-0.54285,0.211852,1.9605753,-1.484714,1
-3.9059,3.393361,-4.03855,3.619515,-3.3427875,2.7954805,1
-3.7808,3.288189,-3.82065,3.37607,-3.393438,2.8016453,1
2.82862,-2.34448,3.152903,-2.81976,3.0839586,-2.5887675,0
-3.48078,2.94817,-3.09246,2.750958,-3.1388597,2.5295537,1
2.986177,-2.49145,3.530631,-3.01888,3.144954,-2.6580255,0
3.032594,-2.57494,2.908319,-2.44247,3.0280495,-2.490811,0
-3.77737,3.27846,-4.22741,3.783719,-3.3793323,2.8169374,1
-3.3851,2.880546,-2.50808,2.082918,1.3671074,-1.0389751,1
3.372715,-2.82114,3.379656,-2.96667,3.087616,-2.5987823,0
3.44558,-2.88083,3.707126,-3.22915,3.115785,-2.606998,0
3.070485,-2.58023,3.384165,-2.89755,2.7818086,-2.2368221,0
2.644295,-2.26212,3.853462,-3.24591,3.0524173,-2.5258553,0
-3.16422,2.654847,-3.36616,2.528949,-3.4432955,2.8054066,1
3.213338,-2.70949,3.413977,-2.99064,3.0108495,-2.4496257,0
-2.29432,1.977799,-3.01154,2.513131,-3.3913956,2.8325558,1
-2.71533,2.371299,-3.77661,3.051771,0.59134406,-0.62895954,1
2.955112,-2.46057,3.280076,-2.77553,2.8762088,-2.3017595,0
3.368957,-2.81063,3.504002,-2.83391,3.1463778,-2.663268,0
3.01735,-2.51659,3.83248,-3.50594,3.1417644,-2.6507342,0
-3.78655,3.282418,-4.18469,3.66627,-3.3728883,2.7147255,1
