electra-0,electra-1,xlnet-0,xlnet-1,bert-0,bert-1,target
-4.8870797,4.45911,-4.09244,4.228428,-4.059867,3.8150387,1
3.2072086,-3.0594995,2.250405,-3.3879,2.9687219,-2.6187146,0
-4.844071,4.4133005,-3.98603,4.165878,-3.841432,3.5724702,1
-4.515516,4.1155896,-4.0007,4.149758,-3.1693506,3.0966926,1
3.8189971,-3.5751457,2.352598,-3.40139,3.6265655,-3.1257422,0
-4.420178,4.0292287,-4.02901,4.19107,-4.165711,3.7899282,1
3.417617,-3.2705672,2.458087,-3.39682,3.8882837,-3.3358421,0
2.9457333,-2.818094,0.528271,-0.06962,1.828342,-1.6512061,0
-4.4574523,4.0615845,-3.76571,3.964514,-4.0067067,3.6595898,1
3.5956738,-3.4026806,2.426877,-3.38932,3.4585905,-3.0613573,0
-4.8084846,4.381013,-4.09721,4.221956,-4.136198,3.7854164,1
3.6180294,-3.4278657,2.179284,-3.34441,3.824602,-3.2496686,0
3.6779225,-3.4794202,2.40177,-3.39344,3.648398,-3.0742843,0
-1.6877463,1.6491562,-1.51722,2.348903,0.8495514,-0.28587204,1
3.6981401,-3.489238,2.304299,-3.3599,3.5651627,-3.023105,0
-4.898686,4.469749,-4.09483,4.204363,-4.146008,3.843833,1
-3.5401497,3.256456,-3.8633,4.108665,-3.6658306,3.4427052,1
-4.2884665,3.920825,-3.95156,4.138703,-3.8088107,3.5212026,1
3.6809938,-3.475721,2.452546,-3.37431,3.569385,-3.0469873,0
3.7088108,-3.5017688,2.29325,-3.37244,3.5815194,-2.9924302,0
0.45878232,-0.5006481,1.599004,-2.49618,0.5572653,-0.047829445,0
2.773153,-2.6903272,1.975398,-2.94696,2.5594528,-2.3582768,0
0.20926557,-0.21475957,0.996046,-1.49418,-2.3346484,2.1857953,0
-4.8789716,4.451937,-4.10537,4.205751,-4.102639,3.8368623,1
-4.380811,3.9948945,-3.81171,4.144098,-3.237293,3.1361876,1
3.2208285,-3.0900292,2.371513,-3.39924,3.646485,-3.1915927,0
3.5218275,-3.334629,2.18476,-3.32507,3.0353968,-2.589909,0
-4.7935405,4.3875084,-3.85635,4.068963,-3.169801,3.0254076,1
3.4633527,-3.2952247,2.231931,-3.34808,3.423824,-3.075262,0
3.5241282,-3.3463497,2.035394,-3.20015,2.1574364,-2.0035377,0
-4.789634,4.3564234,-4.00546,4.178338,-4.121075,3.7623005,1
3.3969896,-3.2413392,2.450909,-3.37144,2.7362893,-2.3944802,0
-4.857303,4.45393,-4.11176,4.214264,-4.0736933,3.8232384,1
3.2934484,-3.1375895,2.077296,-3.17913,3.194853,-2.8137307,0
3.8514292,-3.5654802,2.481132,-3.36646,3.3128476,-2.8567443,0
3.383328,-3.2385845,2.337466,-3.38625,3.8801405,-3.3564258,0
-4.157065,3.7978418,-3.75683,4.008247,-3.7386346,3.5144696,1
3.125339,-3.0033882,1.930515,-2.97577,2.44067,-2.2348003,0
-2.8417187,2.6556892,-3.57349,3.890756,-1.8597441,1.7986768,1
-4.5850577,4.1800227,-3.8532,4.072822,-3.4846506,3.378036,1
-4.835731,4.4119234,-4.08416,4.205081,-4.125972,3.8078933,1
-4.767758,4.3643885,-4.0458,4.187349,-4.1419654,3.8081686,1
-4.8245616,4.398288,-3.76028,4.009907,-3.9685817,3.5793285,1
-4.889113,4.46344,-4.0699,4.208673,-4.115847,3.7917447,1
3.3411627,-3.180306,1.97738,-2.96222,1.5568576,-1.405302,0
3.1239488,-3.006673,1.996916,-3.01447,1.2888243,-1.0167283,0
3.6139836,-3.4238813,2.054048,-3.17191,2.0694156,-1.8622086,0
-4.8720107,4.4349866,-4.09476,4.20774,-4.157662,3.8518825,1
-4.773906,4.343749,-4.04889,4.192083,-3.9660845,3.670587,1
3.68899,-3.4845195,2.464756,-3.386,3.152415,-2.842804,0
3.7344658,-3.5138927,2.441201,-3.38838,2.5532613,-2.4250712,0
-4.86667,4.435043,-4.03477,4.154853,-4.1059866,3.7743082,1
-3.097945,2.890711,-3.69615,3.870711,-3.9948714,3.6923487,1
-4.8847933,4.4414463,-4.06984,4.168924,-4.077229,3.772382,1
3.6660159,-3.4705038,2.423679,-3.38446,3.167067,-2.9086137,0
-4.873952,4.449986,-4.09476,4.218816,-4.113885,3.7890291,1
3.7234247,-3.5148463,2.241867,-3.36349,3.7083385,-3.1787946,0
3.4987175,-3.3254814,2.079392,-3.06382,2.85772,-2.7379944,0
2.918194,-2.8341417,2.244911,-3.37688,3.2884865,-2.911496,0
3.5552232,-3.381814,2.157022,-3.2859,2.654113,-2.3971102,0
-4.664318,4.2615952,-3.66516,3.875113,-4.0737543,3.6872334,1
3.6043122,-3.4133253,2.40117,-3.39738,3.6056447,-3.0550985,0
-3.2230294,2.9819953,-1.2489,2.030034,-2.0126576,1.7980301,1
