electra,xlnet,bert,target
5.2322645,5.259335,4.8333673,5
5.175847,5.162593,4.8894095,4.75
5.227378,5.231233,4.944039,5
2.6007879,2.2561648,2.321052,2.4
2.6520488,2.2624867,2.625745,2.75
2.8427138,2.3829136,2.3721735,2.615
5.209375,5.2590303,5.121824,5
2.9884489,2.6391366,2.3617842,2.333
4.251383,4.219613,4.4702063,3.75
5.242391,5.2584915,4.905989,5
3.5764112,3.410515,3.097518,3.2
1.7750676,1.8586869,1.834174,1.583
5.212031,5.2736297,4.8999457,5
5.2189617,5.284288,4.6443453,5
5.1601715,5.2118897,4.7632804,4.909
0.59572446,0.6681599,0.21028326,0.8
2.768607,4.1962914,3.4244754,2.4
5.227781,5.2114615,5.1042757,5
3.6672847,4.4363694,3.9943576,4
1.0280817,0.6368686,0.551555,0.636
3.2021184,2.953927,3.6253905,3
1.7005532,1.7049036,1.697033,1.714
3.4754913,3.611502,3.8628707,3.2
1.7945635,1.8430684,1.6467941,2.167
1.0718565,1.1784201,1.3916028,1
2.0610132,1.9216576,2.358227,1.917
3.2631505,3.619902,3.089521,4.25
3.609771,3.1100028,3.4132006,3
0.5528367,0.7059572,0.47950453,1
0.063135825,0.10333988,0.08771627,0.6
2.861104,2.5120418,3.1749594,2.6
4.9159894,5.174678,3.5043936,5
4.6873765,4.907759,4.1090016,4.6
5.128081,5.081383,4.6554265,5
4.601901,4.6048436,3.9998434,4.8
4.6377835,5.172629,4.7453637,3.8
5.1775947,5.2038326,4.9365683,5
5.1791873,5.2006183,4.69612,5
4.8113976,4.9109507,4.2404428,4.2
1.2555281,1.3642094,1.2272419,1.4
3.3069065,3.0550215,3.3562634,3.6
4.186497,4.249524,4.006727,2.8
1.3709481,1.3308907,2.3925242,1.6
3.2796183,3.1508846,3.4865212,3
1.5568981,1.6636468,1.6024364,1.4
0.32453528,0.6522953,0.41103292,0.25
0.0035067503,0.12346047,0.099730276,0.25
0.17440599,0.64385563,0.41625917,0
4.041849,2.95155,2.8579044,4
4.872679,4.7571297,4.136579,4.5
0.6876256,0.8737352,1.034415,0.5
3.5819895,4.086243,3.8589346,3.8
4.9721265,5.0944047,4.232805,4.8
5.16042,5.050597,4.5634055,5
0.7106267,0.53220797,0.44192958,0.25
1.5678728,1.5071372,2.2675834,1.2
0.37649012,0.58877164,0.26624334,0.6
0.13200182,0.61891115,0.73352,0.8
3.3476036,3.8533003,3.009555,3.8
-0.08478669,0.071819805,-0.037793502,0
3.0672407,2.8510516,3.054161,3.5
4.603314,4.362669,3.566403,4.5
3.6060812,2.788908,2.3598025,2.8
4.3134756,4.4923806,4.259334,3.8
3.4421763,3.3525302,4.003143,3.8
0.0032689967,0.119083114,0.15476094,0
4.539882,3.8524604,4.4439073,4
4.5490866,4.389744,4.384978,4.25
2.9850078,2.3610098,3.1114058,2.812
4.014836,4.2236094,3.1938934,4.25
2.9892595,3.0561922,3.4163942,3
2.5627954,2.894545,2.0937524,1
2.6763718,3.8222663,2.2761726,3.75
0.6955742,0.63637394,0.43567002,0
0.1409278,0.6640015,0.38968235,0.4
4.5199428,4.4103513,4.27217,4
2.5539796,2.977732,2.8784144,2.8
3.4496005,4.054433,2.8387418,3.75
0.688391,0.82765895,2.0620456,1.154
3.6610022,3.8440037,3.9007912,2.75
3.1859581,2.505205,1.9357029,2.8
-0.06963126,0.052388802,0.029434033,0
-0.07542775,0.051579222,-0.05658444,0
2.8175685,2.3212237,2.9942641,3.4
5.2164845,5.1564946,4.739302,5
0.24384102,0.4672256,0.6230011,0.8
3.113475,2.9405522,2.164001,2.25
3.0976672,3.0940938,4.2237644,2.75
3.6116674,3.809172,4.1202946,4.5
2.9931412,3.476422,3.4700284,2.6
3.3975906,3.4860258,3.322241,3.8
3.2469676,1.9813237,2.1638436,2.8
2.4488337,0.9456281,2.0552835,1.6
0.015150748,0.03878708,0.05242873,0
