electra-0,electra-1,xlnet-0,xlnet-1,bert-0,bert-1,target
0.10240778,-0.20337757,0.004447096,-0.24037635,0.23629314,0.033780858,0
0.079463646,-0.20946449,-0.0064847907,-0.3359926,0.21560736,0.034659877,1
0.10446751,-0.21271382,0.10335909,-0.3307578,0.22739063,0.021796906,0
0.057306025,-0.21258228,0.0786537,-0.34128508,0.2841748,-0.05204158,1
0.07512051,-0.23730859,0.018179381,-0.2660338,0.23128474,0.041148745,1
0.09659977,-0.20574908,0.06817133,-0.29955694,0.24839063,0.02814086,0
0.11550087,-0.23509862,0.18901801,-0.43324614,0.25966135,0.0041453624,1
0.10288283,-0.24278475,0.11876847,-0.24320301,0.2430345,-0.00010994724,1
0.118796036,-0.22113132,0.059676737,-0.22859287,0.2560432,0.021025619,0
0.087068915,-0.19527136,0.18635431,-0.27233648,0.28000647,-0.058292154,0
0.05750505,-0.19773273,-0.017202368,-0.25716203,0.26294267,-0.006419285,0
0.088300206,-0.23195274,-0.016827194,-0.3402869,0.25074667,0.0324087,1
0.10646233,-0.231185,0.00865198,-0.32473412,0.23863433,0.016489292,0
0.11009266,-0.22235891,-0.028243763,-0.21113294,0.2497882,0.028815763,0
0.09501568,-0.17934242,0.030015575,-0.28030398,0.3282261,-0.106000066,0
0.09195658,-0.1877534,0.036143646,-0.32287303,0.23265469,0.026472704,0
0.08784598,-0.22156452,0.061821945,-0.4236931,0.24326019,0.023877228,1
0.08127036,-0.19489683,-0.044338167,-0.26536307,0.25633296,0.03626217,0
0.09184332,-0.22289003,0.05089321,-0.3534421,0.25258747,0.019391572,0
0.0837471,-0.20579262,0.07352398,-0.27260515,0.25418687,-0.036742896,0
0.091038495,-0.2102697,0.032539904,-0.3109173,0.29552537,-0.057763934,0
0.07593086,-0.1924547,0.05804041,-0.21781531,0.23860763,0.02479248,0
0.07803875,-0.22103918,-0.04301039,-0.17787342,0.24817693,0.017283345,0
0.109792806,-0.22055705,0.036803275,-0.32402802,0.22720788,0.049818397,1
0.07891791,-0.21695884,-0.016200705,-0.20812955,0.22596216,0.06430554,0
0.09472944,-0.22650816,0.17559563,-0.35181016,0.2553245,0.019166725,1
0.068868354,-0.18081659,0.028451832,-0.15432923,0.24922042,0.02572533,0
0.09458172,-0.20715691,-0.046392836,-0.23024963,0.2616062,-0.013232379,1
0.08612168,-0.19116262,0.07792285,-0.3271093,0.24191412,0.019372957,1
0.07710374,-0.21928214,-0.022775529,-0.18396704,0.24392612,0.020520063,1
0.09101897,-0.22052133,0.05067598,-0.30679098,0.23223819,0.033104785,1
0.057879664,-0.20840357,0.0685256,-0.18799686,0.24433327,0.0035847658,0
0.10510416,-0.21315338,0.081907764,-0.28108332,0.23692879,0.013963037,1
0.1172923,-0.23161413,0.13826336,-0.24627699,0.23677891,0.013485716,1
0.08506797,-0.21391703,-0.00048315412,-0.21821518,0.27943647,-3.67E-05,0
0.09113136,-0.2302986,0.04530298,-0.40664062,0.2651796,0.026521923,1
0.10914476,-0.22580993,-0.04032047,-0.17796002,0.24733613,0.02915931,0
0.08602511,-0.19154175,0.07423438,-0.34456638,0.24567978,0.022347117,0
0.09686158,-0.18642212,0.13066565,-0.31785414,0.29245284,-0.07294626,1
0.09900058,-0.19882543,0.0073557505,-0.19437157,0.24706663,0.017171675,1
0.10550715,-0.20318477,-0.005279555,-0.19976601,0.28904966,-0.036411878,0
0.08572673,-0.21412824,0.08370687,-0.27777812,0.24122156,0.01762818,0
0.08667244,-0.17968701,0.0796611,-0.35109827,0.245167,0.028102266,0
0.09757775,-0.20367627,0.048241016,-0.30781204,0.33984798,-0.12929462,1
0.0789981,-0.24161497,0.010931418,-0.26533237,0.22981486,0.04245381,0
0.1320294,-0.22050263,0.06862172,-0.29462,0.27353725,0.018014183,0
0.09395475,-0.21562514,0.062408775,-0.3784718,0.23601563,0.044863425,1
0.113521196,-0.21835345,-0.040596306,-0.13140945,0.23877947,0.026466953,0
