electra-0,electra-1,xlnet-0,xlnet-1,bert-0,bert-1,target
-3.0153644,2.8183162,-2.7927089,3.3618393,-2.7823021,3.292792,1
-3.2728155,3.0134866,-3.0199888,3.219829,-2.5365918,3.1445363,1
-2.4849746,2.380282,-1.7002352,1.6877995,-2.3486183,2.6503386,1
-3.1385028,2.965038,-2.994277,3.0230095,-2.8142338,3.3249037,1
-2.3650482,2.1977863,-2.657328,2.2920923,2.7830622,-3.252907,0
-3.083772,2.889339,-2.8391738,2.7859573,-1.6859704,2.1696956,0
2.1689072,-2.1514554,-1.5155066,1.3749357,2.0328119,-2.2700455,0
-3.198979,2.9173198,-3.2072377,2.6577766,-2.6892705,3.098966,1
-3.1508577,2.8464484,-2.8241444,2.6196702,-2.6888397,3.1266892,1
-3.255871,2.9560173,-2.941377,3.0447793,-2.7255,3.2565925,1
-3.240656,2.971234,-2.340822,2.4338684,-2.8809576,3.315435,1
-3.241031,3.0070713,-3.2808619,2.7684216,-2.9675338,3.352632,1
-3.0549748,2.7378056,-3.0471694,2.7108831,-2.8709695,3.34281,1
-0.82901263,0.61852604,-1.5548449,1.2733744,-0.6550545,0.759552,0
-3.255948,3.038529,-2.9858317,3.047318,-2.9065514,3.3401089,1
-3.206211,2.9205878,-2.6964464,2.233902,-2.8430328,3.3597982,1
0.5287312,-0.56678903,-1.7330761,1.1869383,-1.3639129,1.6080745,0
-3.0497463,2.9259305,-2.9300091,3.274181,-2.9088185,3.4391553,1
0.30915654,-0.32814586,-3.287058,3.118168,-2.2851412,2.62332,1
-3.084047,2.8620837,-3.088603,2.985651,-2.9113004,3.3295226,1
-3.0680716,2.929352,-2.8168123,2.6921203,-2.023385,2.6126935,1
-3.1368544,2.9989617,-3.1026263,2.7686315,-2.949224,3.4062803,1
-3.21514,2.9777558,-3.2138019,2.744303,-2.9628923,3.4205785,1
-1.8058288,1.8201782,-2.9450252,2.520744,-1.98247,2.0555785,0
-3.1976068,2.9581394,-3.153007,3.28644,-2.8739202,3.246251,1
-3.1622574,2.977474,-3.0454407,2.7397795,-2.9739256,3.4163594,1
-2.9428484,2.7822022,-1.0004324,0.7834043,-2.66589,3.0877247,1
-3.1468458,2.9924052,-3.0715256,2.9817576,-2.9097574,3.3823133,1
-2.609805,2.4216313,-1.3170805,1.0925796,-1.9153106,2.2473009,0
2.652302,-2.44711,-2.892657,2.5335183,-1.852251,2.422709,0
-2.9679027,2.6077938,-3.287419,3.291304,-3.0304248,3.3708637,1
-3.18735,2.9722865,-2.862974,3.253235,-2.9986897,3.4977496,1
-3.1482315,2.9174485,-2.4294581,2.1011562,-2.279493,2.8498502,0
-2.0307174,1.9165746,-2.5380046,2.1014574,-2.2450256,2.7930205,0
0.48678502,-0.27624834,0.35702685,-0.27912083,-1.0944117,1.3688872,1
-3.0588756,2.8702545,-3.2622578,2.9833298,-1.769486,2.4505353,1
-3.0658872,2.934159,-3.2281644,3.1336303,-1.8407987,2.3367867,1
-3.1789496,2.9976103,-2.4738715,2.341628,-2.2233787,2.8961687,1
-3.0486,2.7533677,-1.3970249,1.2437906,-2.9118433,3.3280845,1
-3.1575909,2.9826589,-3.1500974,2.7936454,-2.7797894,3.2288463,0
-1.5377698,1.528569,-2.5577307,2.0731463,-2.660319,3.1897733,1
2.3201897,-2.283936,-3.3173025,2.9312453,-2.4537935,2.8249438,0
-3.2110856,3.0409114,-2.9228487,3.2796025,-2.6885931,3.2810805,1
-3.0564637,2.921843,-3.4304123,3.211671,-2.252894,2.6397011,1
2.8155146,-2.7135148,-0.22856648,0.16297832,2.8694324,-3.4617307,0
